##############################################################################
# Generated by SWASHES version 1.05.00, 2025-04-22
##############################################################################
# Dimension: 1
# Type: 5 (=Bedload)
# Domain: 1
# Choice: 2 (=with Meyer-Peter and Muler equation)
##############################################################################
# PARAMETERS OF THE SOLUTION
# 
# Length of the domain: 15 meters
# Space step: 0.075 meters
# Number of cells: 200
# Time value: 7 seconds
# 
# Initial conditions: h, u and z0 (see solution and documentation)
# Left boundary conditions x=-0.0375 m:
#   u=1.20056 m/s, h=0.832945 m, z0=0.0935923 m and z=0.0585923 m
# Right boundary conditions x=15.0375 m:
#   u=3.05382 m/s, h=0.327459 m, z0=0.197219 m and z=0.162219 m
# alpha=0.005 m/s, beta=0.005 m^2/s, A=0.00281563 s^2/m, q=1 m^2/s, C=1 m, p=1.5
# kappa=8, f=0.25, sedim. diam. d=0.0005 m, sedim. density rs=2600 kg/m^3, Shield's stress tau_cr=0.047
##############################################################################
# WARNING: to compare your numerical result to this solution,
#    you must be able to remove friction from the Shallow-Water part (see doc).
##############################################################################
# 
#(i-0.5)*dx 	    h[i] 	    u[i] 	 topo[i] 	    q[i] 	 topo[i]+h[i] 	Fr[i]=Froude	 topo[i]+hc[i] 	z0[i]=InitialTopo	 z0[i]+h[i] 	
   0.0375	0.8125321	 1.230721	0.07526745	        1	0.8877995	0.4359179	0.5424038	0.1102674	0.9227995	
   0.1125	0.7939872	 1.259466	0.09016394	        1	0.8841511	0.4512791	0.5573003	0.1251639	0.9191511	
   0.1875	0.7770299	 1.286952	0.1035539	        1	0.8805839	 0.466132	0.5706903	0.1385539	0.9155839	
   0.2625	0.7614366	 1.313307	0.1156544	        1	 0.877091	0.4805238	0.5827907	0.1506544	 0.912091	
   0.3375	 0.747026	 1.338642	0.1266406	        1	0.8736666	0.4944951	 0.593777	0.1616406	0.9086666	
   0.4125	0.7336494	 1.363049	0.1366563	        1	0.8703057	0.5080806	0.6037926	0.1716563	0.9053057	
   0.4875	0.7211836	 1.386609	0.1458202	        1	0.8670038	0.5213108	0.6129565	0.1808202	0.9020038	
   0.5625	0.7095252	 1.409393	0.1542317	        1	0.8637569	0.5342121	0.6213681	0.1892317	0.8987569	
   0.6375	0.6985869	 1.431461	0.1619747	        1	0.8605616	 0.546808	0.6291111	0.1969747	0.8955616	
   0.7125	0.6882943	 1.452867	0.1691205	        1	0.8574148	 0.559119	0.6362568	0.2041205	0.8924148	
   0.7875	0.6785834	 1.473658	0.1757302	        1	0.8543135	0.5711638	0.6428665	0.2107302	0.8893135	
   0.8625	 0.669399	 1.493877	0.1818564	        1	0.8512554	0.5829589	0.6489928	0.2168564	0.8862554	
   0.9375	 0.660693	 1.513562	 0.187545	        1	 0.848238	0.5945192	0.6546813	 0.222545	 0.883238	
   1.0125	0.6524236	 1.532747	0.1928358	        1	0.8452593	0.6058583	0.6599721	0.2278358	0.8802593	
   1.0875	0.6445536	 1.551461	0.1977638	        1	0.8423174	0.6169883	0.6649001	0.2327638	0.8773174	
   1.1625	0.6370506	 1.569734	0.2023599	        1	0.8394106	0.6279204	0.6694963	0.2373599	0.8744106	
   1.2375	0.6298856	  1.58759	0.2066515	        1	0.8365371	0.6386648	0.6737879	0.2416515	0.8715371	
   1.3125	0.6230328	 1.605052	0.2106628	        1	0.8336956	0.6492308	0.6777992	0.2456628	0.8686956	
   1.3875	0.6164691	 1.622141	0.2144156	        1	0.8308847	0.6596272	0.6815519	0.2494156	0.8658847	
   1.4625	0.6101738	 1.638877	0.2179292	        1	 0.828103	0.6698617	0.6850656	0.2529292	 0.863103	
   1.5375	0.6041283	 1.655277	0.2212211	        1	0.8253495	0.6799418	0.6883575	0.2562211	0.8603495	
   1.6125	0.5983157	 1.671358	0.2243072	        1	0.8226229	0.6898741	0.6914435	0.2593072	0.8576229	
   1.6875	0.5927208	 1.687135	0.2272015	        1	0.8199223	0.6996651	0.6943378	0.2622015	0.8549223	
   1.7625	0.5873297	 1.702621	 0.229917	        1	0.8172467	0.7093206	0.6970534	 0.264917	0.8522467	
   1.8375	0.5821297	  1.71783	0.2324656	        1	0.8145953	 0.718846	0.6996019	0.2674656	0.8495953	
   1.9125	0.5771093	 1.732774	0.2348578	        1	0.8119671	0.7282466	0.7019942	0.2698578	0.8469671	
   1.9875	0.5722578	 1.747464	0.2371035	        1	0.8093613	 0.737527	0.7042399	0.2721035	0.8443613	
   2.0625	0.5675656	 1.761911	0.2392117	        1	0.8067773	0.7466918	 0.706348	0.2742117	0.8417773	
   2.1375	0.5630238	 1.776124	0.2411905	        1	0.8042143	0.7557451	0.7083268	0.2761905	0.8392143	
   2.2125	0.5586241	 1.790113	0.2430475	        1	0.8016716	0.7646911	0.7101839	0.2780475	0.8366716	
   2.2875	0.5543589	 1.803886	0.2447898	        1	0.7991486	0.7735333	0.7119261	0.2797898	0.8341486	
   2.3625	0.5502211	 1.817451	0.2464237	        1	0.7966448	0.7822753	0.7135601	0.2814237	0.8316448	
   2.4375	0.5462043	 1.830817	0.2479552	        1	0.7941595	0.7909205	0.7150916	0.2829552	0.8291595	
   2.5125	0.5423023	  1.84399	0.2493899	        1	0.7916922	0.7994721	0.7165262	0.2843899	0.8266922	
   2.5875	0.5385097	 1.856977	0.2507328	        1	0.7892424	0.8079328	0.7178691	0.2857328	0.8242424	
   2.6625	 0.534821	 1.869785	0.2519887	        1	0.7868097	0.8163057	 0.719125	0.2869887	0.8218097	
   2.7375	0.5312314	 1.882419	 0.253162	        1	0.7843935	0.8245934	0.7202984	 0.288162	0.8193935	
